Location,Trail,Distance, Date
Iceland,Hengill to Reykjadalur,15.4 km,2023
USA,Stow Lake and Volcano park, ,2023
Iceland,Grímmansfell in mosfellsbær,5.0 km,2023
Iceland,Ástjörn in Hafnarfjörður, ,2023
Iceland,Akrafjálj Haihnúkur, ,2023
Iceland,near malarrif in Snæfellsness national park, ,2023
Iceland,Guðmundsdalnum Kópavogs, ,2023
Iceland,Skálafell near Mosfellsbær, ,2023
Iceland,Hafravatn, ,2023
Iceland,Kjarnaskóg, ,2023
Iceland,Geldinganes, ,2023
Iceland,Glymur waterfall, ,2023
Iceland,Blákollur, ,2023
Iceland,Hornstrandir, ,2023
Iceland,Litli Hrutur, ,2023
Iceland,Háifoss,5km roundtrip,2023
Iceland,Eyrarfjáll í Kjós,9.8km,2023
